transaction_id,date,store,category,unit_price,quantity,customer_age,payment_method,returns
TXN109445,2023-08-27,Store_D_Kano,Groceries,3320.91,4,69.0,transfer,Sales
TXN123657,2024-08-14,Store_D_Kano,Groceries,2649.43,8,29.0,card,Sales
TXN106755,2023-06-20,Store_E_Ibadan,Electronics,46741.91,2,41.0,cash,Sales
TXN128164,2024-12-01,Store_E_Ibadan,Apparel,16237.05,7,42.0,transfer,Sales
TXN110190,2023-09-16,Store_B_Abuja,Groceries,3310.92,6,58.0,cash,Sales
TXN119268,2024-04-26,Store_D_Kano,Groceries,2348.88,13,24.0,transfer,Sales
TXN110508,2023-09-24,Store_C_PortHarcourt,Electronics,55504.5,5,62.0,transfer,Sales
TXN119332,2024-04-28,Store_A_Lagos,Beauty,5232.2,2,42.0,card,Sales
TXN128041,2024-11-28,Store_E_Ibadan,Apparel,9401.28,12,23.0,card,Sales
TXN106713,2023-06-19,Store_D_Kano,Groceries,2782.01,6,19.0,cash,Sales
TXN108720,2023-08-08,Store_E_Ibadan,Groceries,2733.51,4,37.0,card,Sales
TXN109403,2023-08-26,Store_D_Kano,Home_Goods,17609.2,7,29.0,card,Sales
TXN101751,2023-02-15,Store_E_Ibadan,Home_Goods,10551.4,4,21.0,card,Sales
TXN104450,2023-04-23,Store_A_Lagos,Beauty,5658.18,10,36.0,cash,Sales
TXN100616,2023-01-17,Store_C_PortHarcourt,Groceries,2799.88,2,49.0,cash,Sales
TXN119153,2024-04-23,Store_D_Kano,Beauty,4151.47,6,48.0,cash,Sales
TXN119461,2024-05-01,Store_B_Abuja,Apparel,7577.52,10,47.0,card,Sales
TXN120451,2024-05-26,Store_C_PortHarcourt,Groceries,2839.08,12,23.0,cash,Sales
TXN129306,2024-12-30,Store_D_Kano,Apparel,11389.85,13,61.0,card,Sales
TXN111967,2023-10-30,Store_A_Lagos,Groceries,2685.36,13,49.0,card,Sales
TXN126183,2024-10-13,Store_C_PortHarcourt,Groceries,3624.02,5,38.0,card,Sales
TXN115480,2024-01-25,Store_A_Lagos,Electronics,50129.43,7,33.0,card,Sales
TXN114387,2023-12-29,Store_A_Lagos,Electronics,55972.04,5,30.0,cash,Sales
TXN124358,2024-08-30,Store_E_Ibadan,Home_Goods,10707.98,5,36.0,card,Sales
TXN109002,2023-08-16,Store_C_PortHarcourt,Groceries,2587.51,1,40.0,card,Sales
TXN120428,2024-05-25,Store_E_Ibadan,Beauty,6544.02,11,24.0,card,Sales
TXN106942,2023-06-24,Store_E_Ibadan,Home_Goods,14231.95,3,51.0,cash,Sales
TXN113418,2023-12-04,Store_E_Ibadan,Electronics,60071.35,10,20.0,cash,Sales
TXN100658,2023-01-18,Store_C_PortHarcourt,Electronics,40166.62,9,68.0,card,Sales
TXN111732,2023-10-25,Store_A_Lagos,Electronics,40397.92,9,69.0,cash,Sales
TXN128924,2024-12-21,Store_B_Abuja,Electronics,86826.79,1,65.0,transfer,Sales
TXN115657,2024-01-29,Store_C_PortHarcourt,Beauty,4291.34,4,21.0,cash,Sales
TXN108156,2023-07-26,Store_A_Lagos,Groceries,2808.43,6,39.0,cash,Sales
TXN125595,2024-09-29,Store_E_Ibadan,Groceries,2771.74,11,25.0,cash,Sales
TXN102178,2023-02-26,Store_A_Lagos,Groceries,3076.0,14,61.0,transfer,Sales
TXN121437,2024-06-19,Store_E_Ibadan,Apparel,8479.74,12,36.0,cash,Sales
TXN118850,2024-04-15,Store_E_Ibadan,Electronics,40730.67,10,64.0,card,Sales
TXN105749,2023-05-26,Store_C_PortHarcourt,Apparel,6839.45,10,24.0,transfer,Sales
TXN126086,2024-10-11,Store_A_Lagos,Groceries,2853.6,2,40.0,cash,Sales
TXN119100,2024-04-22,Store_A_Lagos,Apparel,8788.19,9,68.0,cash,Sales
TXN100770,2023-01-21,Store_E_Ibadan,Groceries,3696.01,3,36.0,transfer,Sales
TXN123036,2024-07-30,Store_E_Ibadan,Groceries,2493.62,2,53.0,card,Sales
TXN114671,2024-01-05,Store_C_PortHarcourt,Apparel,8758.54,9,25.0,card,Sales
TXN107316,2023-07-03,Store_D_Kano,Electronics,47934.15,13,33.0,transfer,Sales
TXN104169,2023-04-15,Store_D_Kano,Groceries,2790.38,6,61.0,cash,Sales
TXN107754,2023-07-15,Store_A_Lagos,Electronics,51614.12,13,45.0,cash,Sales
TXN117155,2024-03-05,Store_B_Abuja,Beauty,4044.07,5,49.0,transfer,Sales
TXN106555,2023-06-15,Store_C_PortHarcourt,Electronics,43091.6,-5,37.0,card,Return
TXN114373,2023-12-28,Store_E_Ibadan,Electronics,61829.45,2,26.0,card,Sales
TXN105630,2023-05-23,Store_B_Abuja,Electronics,43161.74,8,34.0,transfer,Sales
TXN118752,2024-04-13,Store_C_PortHarcourt,Home_Goods,15794.07,9,26.0,cash,Sales
TXN119015,2024-04-20,Store_A_Lagos,Groceries,2775.25,2,47.0,card,Sales
TXN106487,2023-06-13,Store_D_Kano,Groceries,2226.32,11,45.0,cash,Sales
TXN102907,2023-03-15,Store_C_PortHarcourt,Home_Goods,12495.59,4,41.0,card,Sales
TXN114216,2023-12-24,Store_D_Kano,Electronics,81180.07,13,40.0,cash,Sales
TXN120157,2024-05-18,Store_E_Ibadan,Electronics,58679.55,3,18.0,cash,Sales
TXN117166,2024-03-05,Store_D_Kano,Electronics,41160.01,5,52.0,cash,Sales
TXN120439,2024-05-26,Store_B_Abuja,Home_Goods,15813.01,8,56.0,card,Sales
TXN128572,2024-12-12,Store_A_Lagos,Apparel,10306.1,9,21.0,card,Sales
TXN110104,2023-09-14,Store_C_PortHarcourt,Apparel,7587.76,9,27.0,cash,Sales
TXN126973,2024-11-03,Store_A_Lagos,Beauty,7175.42,5,31.0,cash,Sales
TXN115617,2024-01-28,Store_C_PortHarcourt,Apparel,11250.41,3,37.0,card,Sales
TXN127320,2024-11-11,Store_E_Ibadan,Home_Goods,14174.64,12,50.0,transfer,Sales
TXN111629,2023-10-22,Store_B_Abuja,Apparel,9717.9,1,31.0,cash,Sales
TXN106155,2023-06-05,Store_D_Kano,Beauty,4845.21,12,49.0,card,Sales
TXN101663,2023-02-13,Store_C_PortHarcourt,Beauty,4629.79,10,68.0,card,Sales
TXN118240,2024-04-01,Store_D_Kano,Home_Goods,10303.51,8,40.0,card,Sales
TXN115042,2024-01-14,Store_C_PortHarcourt,Beauty,5018.9,4,41.0,card,Sales
TXN114492,2024-01-01,Store_A_Lagos,Electronics,38891.52,10,41.0,cash,Sales
TXN123571,2024-08-12,Store_D_Kano,Groceries,2409.6,3,24.0,card,Sales
TXN118786,2024-04-14,Store_C_PortHarcourt,Beauty,6703.46,11,33.0,card,Sales
TXN112803,2023-11-20,Store_B_Abuja,Apparel,9730.08,10,54.0,transfer,Sales
TXN111798,2023-10-26,Store_B_Abuja,Apparel,6951.05,12,32.0,transfer,Sales
TXN116534,2024-02-19,Store_D_Kano,Groceries,2336.5,9,30.0,transfer,Sales
TXN103318,2023-03-25,Store_C_PortHarcourt,Home_Goods,17700.68,3,48.0,card,Sales
TXN112595,2023-11-15,Store_B_Abuja,Groceries,2787.22,3,66.0,cash,Sales
TXN128195,2024-12-02,Store_D_Kano,Groceries,3664.21,13,42.0,cash,Sales
TXN105590,2023-05-22,Store_B_Abuja,Electronics,40848.98,13,58.0,transfer,Sales
TXN117095,2024-03-03,Store_D_Kano,Apparel,9156.15,9,57.0,cash,Sales
TXN104313,2023-04-19,Store_E_Ibadan,Electronics,49602.49,10,67.0,transfer,Sales
TXN106125,2023-06-04,Store_E_Ibadan,Home_Goods,15771.39,4,62.0,cash,Sales
TXN111139,2023-10-10,Store_C_PortHarcourt,Beauty,5004.59,9,48.0,card,Sales
TXN126531,2024-10-22,Store_D_Kano,Home_Goods,12063.43,3,34.0,card,Sales
TXN118887,2024-04-16,Store_D_Kano,Home_Goods,10308.08,8,65.0,transfer,Sales
TXN128170,2024-12-02,Store_A_Lagos,Electronics,69842.0,11,33.0,card,Sales
TXN121511,2024-06-21,Store_C_PortHarcourt,Apparel,7487.82,1,52.0,card,Sales
TXN101551,2023-02-10,Store_E_Ibadan,Electronics,39101.94,3,27.0,card,Sales
TXN108806,2023-08-11,Store_B_Abuja,Groceries,2754.15,12,41.0,cash,Sales
TXN127384,2024-11-13,Store_C_PortHarcourt,Home_Goods,15832.3,6,24.0,card,Sales
TXN128458,2024-12-09,Store_B_Abuja,Beauty,7226.53,13,28.0,cash,Sales
TXN114170,2023-12-23,Store_C_PortHarcourt,Electronics,85446.29,14,49.0,cash,Sales
TXN109018,2023-08-16,Store_E_Ibadan,Beauty,4717.99,4,28.0,cash,Sales
TXN117033,2024-03-02,Store_A_Lagos,Beauty,5830.04,10,61.0,cash,Sales
