transaction_id,date,store,category,unit_price,quantity,customer_age,payment_method
TXN115708,2024-01-30,Store_C_PortHarcourt,Home_Goods,12732.62,3,,CASH
TXN109445,2023-08-27,Store_D_Kano,Groceries,3320.91,4,69.0,Transfer
TXN123657,2024-08-14,Store_D_Kano,Groceries,2649.43,8,29.0,Card
TXN113862,2023-12-15,Store_E_Ibadan,Groceries,,1,38.0,CASH
TXN106755,2023-06-20,Store_E_Ibadan,Electronics,46741.91,2,41.0,Cash
TXN113876,2023-12-16,Store_D_Kano,Beauty,7085.51,4,,Transfer
TXN128164,2024-12-01,Store_E_Ibadan,Apparel,16237.05,7,42.0,Transfer
TXN110190,2023-09-16,Store_B_Abuja,Groceries,3310.92,6,58.0,Cash
TXN119268,2024-04-26,Store_D_Kano,Groceries,2348.88,13,24.0,Transfer
TXN126735,2024-10-28,Store_A_Lagos,Apparel,7207.54,11,,Card
TXN110508,2023-09-24,Store_C_PortHarcourt,Electronics,55504.5,5,62.0,Transfer
TXN119332,2024-04-28,Store_A_Lagos,Beauty,5232.2,2,42.0,Card
TXN128041,2024-11-28,Store_E_Ibadan,Apparel,9401.28,12,23.0,Card
TXN106309,2023-06-09,Store_A_Lagos,Groceries,2857.65,9,,Card
TXN106713,2023-06-19,Store_D_Kano,Groceries,2782.01,6,19.0,Cash
TXN108720,2023-08-08,Store_E_Ibadan,Groceries,2733.51,4,37.0,Card 
TXN109403,2023-08-26,Store_D_Kano,Home_Goods,17609.2,7,29.0,Card 
TXN110790,01/10/2023,Store_D_Kano,Apparel,11494.88,7,,Card
TXN101751,2023-02-15,Store_E_Ibadan,Home_Goods,10551.4,4,21.0,Card
TXN104450,2023-04-23,Store_A_Lagos,Beauty,5658.18,10,36.0,Cash
TXN100616,2023-01-17,Store_C_PortHarcourt,Groceries,2799.88,2,49.0,CASH
TXN119153,2024-04-23,Store_D_Kano,Beauty,4151.47,6,48.0,Cash
TXN119461,2024-05-01,Store_B_Abuja,Apparel,7577.52,10,47.0,Card 
TXN120451,2024-05-26,Store_C_PortHarcourt,Groceries,2839.08,12,23.0,CASH
TXN129306,2024-12-30,Store_D_Kano,Apparel,11389.85,13,61.0,Card 
TXN111967,2023-10-30,Store_A_Lagos,Groceries,2685.36,13,49.0,Card
TXN126183,2024-10-13,Store_C_PortHarcourt,Groceries,3624.02,5,38.0,Card
TXN115480,2024-01-25,Store_A_Lagos,Electronics,50129.43,7,33.0,Card
TXN114387,2023-12-29,Store_A_Lagos,Electronics,55972.04,5,30.0,CASH
TXN124358,2024-08-30,Store_E_Ibadan,Home_Goods,10707.98,5,36.0,Card 
TXN109002,2023-08-16,Store_C_PortHarcourt,Groceries,2587.51,1,40.0,Card 
TXN120428,2024-05-25,Store_E_Ibadan,Beauty,6544.02,11,24.0,Card 
TXN106942,2023-06-24,Store_E_Ibadan,Home_Goods,14231.95,3,51.0,Cash
TXN121548,2024-06-22,Store_C_PortHarcourt,Beauty,5191.57,10,,Transfer
TXN113418,2023-12-04,Store_E_Ibadan,Electronics,60071.35,10,20.0,CASH
TXN100658,2023-01-18,Store_C_PortHarcourt,Electronics,40166.62,9,68.0,Card 
TXN111732,2023-10-25,Store_A_Lagos,Electronics,40397.92,9,69.0,Cash
TXN128924,2024-12-21,Store_B_Abuja,Electronics,86826.79,1,65.0,Transfer
TXN115657,2024-01-29,Store_C_PortHarcourt,Beauty,4291.34,4,21.0,CASH
TXN108156,2023-07-26,Store_A_Lagos,Groceries,2808.43,6,39.0,Cash
TXN125595,2024-09-29,Store_E_Ibadan,Groceries,2771.74,11,25.0,Cash
TXN102178,2023-02-26,Store_A_Lagos,Groceries,3076.0,14,61.0,Transfer
TXN120651,2024-05-31,Store_C_PortHarcourt,Electronics,40051.41,8,,Card 
TXN121437,2024-06-19,Store_E_Ibadan,Apparel,8479.74,12,36.0,CASH
TXN118850,2024-04-15,Store_E_Ibadan,Electronics,40730.67,10,64.0,Card 
TXN105749,2023-05-26,Store_C_PortHarcourt,Apparel,6839.45,10,24.0,Transfer
TXN126086,2024-10-11,Store_A_Lagos,Groceries,2853.6,2,40.0,Cash
TXN119100,2024-04-22,Store_A_Lagos,Apparel,8788.19,9,68.0,Cash
TXN100770,2023-01-21,Store_E_Ibadan,Groceries,3696.01,3,36.0,Transfer
TXN123036,2024-07-30,Store_E_Ibadan,Groceries,2493.62,2,53.0,Card
TXN114671,2024-01-05,Store_C_PortHarcourt,Apparel,8758.54,9,25.0,Card
TXN107316,2023-07-03,Store_D_Kano,Electronics,47934.15,13,33.0,Transfer
TXN101444,2023-02-07,Store_E_Ibadan,Home_Goods,12254.74,9,,Card 
TXN100318,2023-01-09,Store_C_PortHarcourt,Beauty,,13,59.0,Cash
TXN104169,2023-04-15,Store_D_Kano,Groceries,2790.38,6,61.0,Cash
TXN112718,2023-11-18,Store_B_Abuja,Groceries,4112.94,9,,Transfer
TXN107754,2023-07-15,Store_A_Lagos,Electronics,51614.12,13,45.0,CASH
TXN117155,2024-03-05,Store_B_Abuja,Beauty,4044.07,5,49.0,Transfer
TXN106555,2023-06-15,Store_C_PortHarcourt,Electronics,43091.6,-5,37.0,Card 
TXN114373,2023-12-28,Store_E_Ibadan,Electronics,61829.45,2,26.0,Card 
TXN120054,2024-05-16,Store_B_Abuja,Electronics,"₦51,427.61",7,,Cash
TXN105630,2023-05-23,Store_B_Abuja,Electronics,43161.74,8,34.0,Transfer
TXN118752,2024-04-13,Store_C_PortHarcourt,Home_Goods,15794.07,9,26.0,Cash
TXN119015,2024-04-20,Store_A_Lagos,Groceries,2775.25,2,47.0,Card
TXN106487,2023-06-13,Store_D_Kano,Groceries,2226.32,11,45.0,Cash
TXN102907,2023-03-15,Store_C_PortHarcourt,Home_Goods,12495.59,4,41.0,Card
TXN122101,2024-07-07,Store_B_Abuja,Groceries,,5,25.0,Card
TXN114216,2023-12-24,Store_D_Kano,Electronics,81180.07,13,40.0,Cash
TXN120157,2024-05-18,Store_E_Ibadan,Electronics,58679.55,3,18.0,Cash
TXN117166,2024-03-05,Store_D_Kano,Electronics,41160.01,5,52.0,Cash
TXN120439,2024-05-26,Store_B_Abuja,Home_Goods,15813.01,8,56.0,Card
TXN128572,2024-12-12,Store_A_Lagos,Apparel,10306.1,9,21.0,Card 
TXN110104,2023-09-14,Store_C_PortHarcourt,Apparel,7587.76,9,27.0,Cash
TXN126973,2024-11-03,Store_A_Lagos,Beauty,7175.42,5,31.0,Cash
TXN115617,2024-01-28,Store_C_PortHarcourt,Apparel,11250.41,3,37.0,Card
TXN107889,2023-07-19,Store_B_Abuja,Apparel,,14,51.0,Card 
TXN115972,2024-02-05,Store_E_Ibadan,Electronics,40142.5,14,,Transfer
TXN127320,2024-11-11,Store_E_Ibadan,Home_Goods,14174.64,12,50.0,Transfer
TXN111629,2023-10-22,Store_B_Abuja,Apparel,9717.9,1,31.0,Cash
TXN106155,2023-06-05,Store_D_Kano,Beauty,4845.21,12,49.0,Card 
TXN101663,2023-02-13,Store_C_PortHarcourt,Beauty,4629.79,10,68.0,Card
TXN118240,2024-04-01,Store_D_Kano,Home_Goods,10303.51,8,40.0,Card 
TXN115042,2024-01-14,Store_C_PortHarcourt,Beauty,5018.9,4,41.0,Card
TXN114492,2024-01-01,Store_A_Lagos,Electronics,38891.52,10,41.0,CASH
TXN123571,2024-08-12,Store_D_Kano,Groceries,2409.6,3,24.0,Card
TXN118786,2024-04-14,Store_C_PortHarcourt,Beauty,6703.46,11,33.0,Card 
TXN112803,2023-11-20,Store_B_Abuja,Apparel,9730.08,10,54.0,Transfer
TXN111798,2023-10-26,Store_B_Abuja,Apparel,6951.05,12,32.0,Transfer
TXN116534,2024-02-19,Store_D_Kano,Groceries,2336.5,9,30.0,Transfer
TXN103318,2023-03-25,Store_C_PortHarcourt,Home_Goods,17700.68,3,48.0,Card
TXN112595,2023-11-15,Store_B_Abuja,Groceries,2787.22,3,66.0,CASH
TXN128195,02/12/2024,Store_D_Kano,Groceries,3664.21,13,42.0,Cash
TXN105590,2023-05-22,Store_B_Abuja,Electronics,40848.98,13,58.0,Transfer
TXN117095,2024-03-03,Store_D_Kano,Apparel,9156.15,9,57.0,Cash
TXN104313,19/04/2023,Store_E_Ibadan,Electronics,49602.49,10,67.0,Transfer
TXN106125,04/06/2023,Store_E_Ibadan,Home_Goods,15771.39,4,62.0,Cash
TXN111139,2023-10-10,Store_C_PortHarcourt,Beauty,5004.59,9,48.0,Card
TXN126531,2024-10-22,Store_D_Kano,Home_Goods,12063.43,3,34.0,Card 
TXN122645,2024-07-21,Store_B_Abuja,Electronics,55550.15,9,,Card
TXN106437,2023-06-12,Store_C_PortHarcourt,Home_Goods,11965.66,11,,CASH
TXN118887,2024-04-16,Store_D_Kano,Home_Goods,10308.08,8,65.0,Transfer
TXN128170,2024-12-02,Store_A_Lagos,Electronics,69842.0,11,33.0,Card 
TXN121511,2024-06-21,Store_C_PortHarcourt,Apparel,7487.82,1,52.0,Card 
TXN106635,2023-06-17,Store_D_Kano,Home_Goods,17450.1,2,,CASH
TXN101551,10/02/2023,Store_E_Ibadan,Electronics,39101.94,3,27.0,Card
TXN108806,2023-08-11,Store_B_Abuja,Groceries,2754.15,12,41.0,Cash
TXN119621,2024-05-06,Store_A_Lagos,Beauty,4249.09,1,,Transfer
TXN127384,2024-11-13,Store_C_PortHarcourt,Home_Goods,15832.3,6,24.0,Card
TXN128458,2024-12-09,Store_B_Abuja,Beauty,7226.53,13,28.0,CASH
TXN114170,2023-12-23,Store_C_PortHarcourt,Electronics,85446.29,14,49.0,Cash
TXN109018,2023-08-16,Store_E_Ibadan,Beauty,4717.99,4,28.0,CASH
TXN103356,2023-03-26,Store_C_PortHarcourt,Beauty,5540.71,7,,Cash
TXN117033,2024-03-02,Store_A_Lagos,Beauty,5830.04,10,61.0,CASH
TXN100406,2023-01-11,Store_D_Kano,Beauty,4557.35,11,,Cash
TXN121796,2024-06-29,Store_B_Abuja,Beauty,"₦6,196.47",12,34.0,Transfer
TXN110158,2023-09-15,Store_C_PortHarcourt,Home_Goods,11371.47,7,35.0,Transfer
TXN116241,2024-02-12,Store_D_Kano,Beauty,4541.39,12,18.0,Cash
TXN104575,2023-04-26,Store_A_Lagos,Electronics,44359.2,4,55.0,Card 
TXN101535,2023-02-10,Store_D_Kano,Home_Goods,12116.0,10,34.0,CASH
TXN107970,2023-07-21,Store_C_PortHarcourt,Home_Goods,12174.33,4,69.0,Transfer
TXN103104,2023-03-20,Store_A_Lagos,Beauty,3839.21,2,50.0,Transfer
TXN107109,2023-06-28,Store_E_Ibadan,Groceries,2259.57,9,51.0,Cash
TXN120129,2024-05-18,Store_A_Lagos,Apparel,10262.58,-3,39.0,Cash
TXN108533,2023-08-04,Store_C_PortHarcourt,Home_Goods,,13,,CASH
TXN115472,2024-01-24,Store_E_Ibadan,Home_Goods,12791.39,12,67.0,Cash
TXN115929,2024-02-04,Store_E_Ibadan,Beauty,5758.5,10,22.0,CASH
TXN116452,2024-02-17,Store_D_Kano,Apparel,10220.2,8,59.0,Cash
TXN116641,2024-02-22,Store_B_Abuja,Electronics,44192.68,4,32.0,Transfer
TXN115109,2024-01-16,Store_A_Lagos,Home_Goods,10203.09,2,38.0,Card
TXN106030,02/06/2023,Store_D_Kano,Home_Goods,11224.44,11,20.0,CASH
TXN115577,2024-01-27,Store_B_Abuja,Electronics,62360.76,6,41.0,Cash
TXN111374,2023-10-16,Store_B_Abuja,Home_Goods,11149.78,2,21.0,Card
TXN114429,30/12/2023,Store_C_PortHarcourt,Electronics,87274.77,14,,Card
TXN103763,2023-04-05,Store_D_Kano,Home_Goods,11361.61,6,63.0,Card 
TXN124252,2024-08-28,Store_D_Kano,Groceries,2126.67,12,28.0,Transfer
TXN106473,2023-06-13,Store_B_Abuja,Apparel,8495.26,10,42.0,CASH
TXN128578,2024-12-12,Store_B_Abuja,Electronics,54762.21,11,34.0,Cash
TXN110567,2023-09-26,Store_B_Abuja,Groceries,2167.8,9,47.0,Card
TXN100466,2023-01-13,Store_B_Abuja,Home_Goods,11181.45,4,43.0,Transfer
TXN125422,2024-09-25,Store_B_Abuja,Groceries,2843.14,10,25.0,Cash
TXN123366,2024-08-07,Store_B_Abuja,Electronics,41015.51,2,40.0,CASH
TXN117619,2024-03-17,Store_B_Abuja,Electronics,66541.41,6,63.0,Cash
TXN114190,2023-12-24,Store_B_Abuja,Apparel,15081.61,7,64.0,Transfer
TXN125317,2024-09-22,Store_D_Kano,Groceries,"₦3,477.07",7,35.0,Card
